"filename", "language", "Rust", "comment", "blank", "total"
"/home/peter/workspace/bronze/src/ai_functions/aifunc_architect.rs", "Rust", 9, 34, 3, 46
"/home/peter/workspace/bronze/src/ai_functions/aifunc_backend_engineer.rs", "Rust", 17, 91, 5, 113
"/home/peter/workspace/bronze/src/ai_functions/aifunc_project_manager.rs", "Rust", 5, 9, 2, 16
"/home/peter/workspace/bronze/src/ai_functions/mod.rs", "Rust", 3, 0, 1, 4
"/home/peter/workspace/bronze/src/apis/call_request.rs", "Rust", 63, 0, 15, 78
"/home/peter/workspace/bronze/src/apis/mod.rs", "Rust", 1, 0, 1, 2
"/home/peter/workspace/bronze/src/helpers/cli.rs", "Rust", 72, 1, 20, 93
"/home/peter/workspace/bronze/src/helpers/general.rs", "Rust", 96, 0, 18, 114
"/home/peter/workspace/bronze/src/helpers/mod.rs", "Rust", 2, 0, 1, 3
"/home/peter/workspace/bronze/src/main.rs", "Rust", 21, 1, 7, 29
"/home/peter/workspace/bronze/src/models/base_agent/base_agent.rs", "Rust", 41, 0, 9, 50
"/home/peter/workspace/bronze/src/models/base_agent/base_traits.rs", "Rust", 10, 0, 2, 12
"/home/peter/workspace/bronze/src/models/base_agent/mod.rs", "Rust", 2, 0, 1, 3
"/home/peter/workspace/bronze/src/models/general/llm.rs", "Rust", 24, 0, 6, 30
"/home/peter/workspace/bronze/src/models/general/mod.rs", "Rust", 1, 0, 1, 2
"/home/peter/workspace/bronze/src/models/mod.rs", "Rust", 4, 0, 1, 5
"/home/peter/workspace/bronze/src/models/project_manager/mod.rs", "Rust", 1, 0, 1, 2
"/home/peter/workspace/bronze/src/models/project_manager/project_manager.rs", "Rust", 81, 1, 16, 98
"/home/peter/workspace/bronze/src/models/team/database_administrator.rs", "Rust", 253, 0, 45, 298
"/home/peter/workspace/bronze/src/models/team/devops_engineer.rs", "Rust", 253, 0, 45, 298
"/home/peter/workspace/bronze/src/models/team/junior_backend_engineer.rs", "Rust", 107, 0, 15, 122
"/home/peter/workspace/bronze/src/models/team/mod.rs", "Rust", 4, 0, 1, 5
"/home/peter/workspace/bronze/src/models/team/senior_backend_engineer.rs", "Rust", 253, 0, 45, 298
"/home/peter/workspace/bronze/src/models/team/solution_architect.rs", "Rust", 146, 1, 17, 164
"/home/peter/workspace/bronze/src/models/team/team_traits.rs", "Rust", 34, 0, 5, 39
"Total", "-", 1503, 138, 283, 1924